mixture_id,speaker1_id,speaker2_id,SDR,SIR,SAR,PESQ
145,id04276,id06209,-9.03172341129826,8.82904617370798,-8.353197404401413,1.0524863004684448
146,id04006,id04656,-12.12661807118087,9.022267756562346,-11.556598201854824,1.0435776710510254
147,id05176,id06811,-10.679316422976106,8.623421086293487,-10.033888143918514,1.0291759967803955
148,id04656,id07396,-10.015768882914783,7.354405520675913,-9.173237704803315,1.0349054336547852
149,id04950,id06310,-8.4864414796947,12.527299946857074,-8.212835636386798,1.0491604804992676
150,id05055,id05202,-10.173433857465549,9.694543637293137,-9.623266051312072,1.0455557703971863
151,id06104,id06811,-10.030181576948813,6.608216576681504,-9.071264843275912,1.062392771244049
152,id04478,id05654,-10.204342402093967,5.815866355053562,-8.767733946405777,1.03394615650177
153,id04862,id06209,-7.172286978732097,10.842854427067518,-6.75172265639376,1.1036308407783508
154,id05015,id05714,-8.079432554177883,8.455983486991158,-7.329708374004606,1.1011002659797668
155,id05999,id07354,-14.19891204943927,0.5063693036427735,-11.272293345370471,1.0270428657531738
156,id04950,id05124,-11.826537716186667,10.52197273925281,-11.400192310386311,1.047204315662384
157,id04295,id06816,-9.588541408289181,7.544370289184942,-8.75883781156058,1.047544002532959
158,id06209,id06913,-6.939499608422371,11.159825709305345,-6.55083478373136,1.0534443259239197
159,id04006,id05850,-9.639921203448095,10.202987104593802,-9.197749997211085,1.0416237711906433
160,id03969,id03981,-9.637122053383852,9.811647814758935,-9.145589474936955,1.0611133575439453
161,id04295,id06692,-9.958929208920537,9.200200028890436,-9.40136773271989,1.0437853932380676
162,id03789,id04094,-9.96873953846885,7.884257418346744,-9.204699712224851,1.0339143872261047
163,id03978,id05654,-9.083799077898867,7.2388200723952405,-8.22881572165252,1.0682644844055176
164,id04657,id05816,-10.606809567117828,8.450869749783996,-9.93099605185182,1.0449782609939575
165,id04232,id04253,-9.594867141315259,7.837315674816026,-8.768078277534457,1.039431095123291
166,id04656,id06484,-9.170229489472153,8.146921295680176,-8.465158933492042,1.057264804840088
167,id04627,id06484,-10.678473185869123,7.685785073072589,-9.891943885552347,1.0460012555122375
168,id04276,id05816,-10.096852517848149,7.58985808800337,-9.129832336295951,1.0480483770370483
169,id04627,id06310,-9.22489224384761,10.407964868648193,-8.769554775939708,1.0651373863220215
